timestamp,sensor_id,temperature,humidity,sound_volume,is_anomaly
2024-01-02T00:08:00,SENSOR-002,69.42,43.0,94.14,0
2024-01-01T12:03:30,SENSOR-007,60.9,42.63,71.05,0
2024-01-01T20:33:00,SENSOR-008,65.78,48.68,54.31,0
2024-01-01T13:36:00,SENSOR-003,60.67,45.65,67.45,0
2024-01-02T04:56:30,SENSOR-007,71.44,38.97,84.12,0
2024-01-02T11:05:00,SENSOR-004,64.86,37.93,59.48,0
2024-01-01T22:16:30,SENSOR-005,68.88,51.62,67.56,0
2024-01-01T09:10:00,SENSOR-006,59.35,42.5,82.5,0
2024-01-01T16:47:30,SENSOR-008,62.59,42.98,85.38,0
2024-01-01T21:55:00,SENSOR-009,65.13,57.35,75.01,0
2024-01-01T20:49:30,SENSOR-010,62.12,46.39,84.97,0
2024-01-01T18:20:30,SENSOR-003,64.7,43.15,58.32,0
2024-01-01T09:33:00,SENSOR-004,69.55,31.81,62.85,0
2024-01-02T08:39:30,SENSOR-003,67.69,47.13,60.48,0
2024-01-02T10:32:00,SENSOR-002,65.38,57.77,68.86,0
2024-01-02T23:35:30,SENSOR-002,61.63,91.56,82.1,1
2024-01-01T18:31:00,SENSOR-003,65.66,41.05,52.87,0
2024-01-02T02:51:30,SENSOR-005,61.79,46.16,86.51,0
2024-01-02T22:17:00,SENSOR-003,65.44,32.44,84.53,0
2024-01-01T16:16:30,SENSOR-009,62.41,42.6,52.79,0
2024-01-02T11:01:00,SENSOR-010,59.99,52.04,87.69,0
2024-01-01T13:54:00,SENSOR-002,57.97,46.21,88.34,0
2024-01-01T21:12:30,SENSOR-008,73.08,37.96,47.75,0
2024-01-02T09:54:00,SENSOR-007,69.79,41.84,73.18,0
2024-01-02T09:53:00,SENSOR-010,65.05,44.95,73.24,0
2024-01-02T17:53:00,SENSOR-008,65.6,32.68,67.78,0
2024-01-02T12:25:00,SENSOR-007,67.3,45.78,71.29,0
2024-01-02T12:11:00,SENSOR-008,53.53,50.64,84.89,0
2024-01-01T10:56:30,SENSOR-007,68.58,45.3,74.65,0
2024-01-01T13:35:00,SENSOR-009,69.4,49.92,96.96,0
2024-01-02T15:23:30,SENSOR-009,68.12,38.89,86.93,0
2024-01-02T10:20:30,SENSOR-008,70.66,66.44,65.69,0
2024-01-02T01:07:00,SENSOR-004,62.79,41.58,78.83,0
2024-01-01T11:39:30,SENSOR-008,63.85,32.99,74.53,0
2024-01-01T22:04:30,SENSOR-004,61.06,54.67,61.83,0
2024-01-01T12:38:30,SENSOR-005,68.58,51.22,75.63,0
2024-01-01T10:30:30,SENSOR-004,73.19,43.21,55.35,0
2024-01-02T20:45:00,SENSOR-010,69.74,45.17,73.05,0
2024-01-02T04:40:30,SENSOR-010,61.21,40.51,69.33,0
2024-01-03T01:00:30,SENSOR-004,85.31,45.09,117.21,1
2024-01-02T02:31:00,SENSOR-005,64.73,55.19,76.5,0
2024-01-01T16:13:00,SENSOR-007,66.97,40.43,55.31,0
2024-01-01T11:57:00,SENSOR-001,67.27,42.04,58.97,0
2024-01-02T05:59:00,SENSOR-001,63.4,44.78,70.42,0
2024-01-01T12:28:30,SENSOR-006,63.65,45.86,57.01,0
2024-01-01T19:22:00,SENSOR-002,59.33,62.0,77.3,0
2024-01-02T20:06:30,SENSOR-009,58.35,44.8,66.61,0
2024-01-01T19:18:30,SENSOR-005,76.88,45.14,74.55,0
2024-01-02T14:48:30,SENSOR-002,62.48,54.01,80.74,0
2024-01-02T06:39:30,SENSOR-005,64.81,42.48,67.4,0
2024-01-01T19:09:30,SENSOR-003,62.4,51.29,74.64,0
2024-01-01T18:20:00,SENSOR-007,67.44,43.27,96.45,0
